City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Vermilion,US,2022-06-07 12:34:30,40.1667,-87.7506,70.32,88,100,5.75
213,Ziro,IN,2022-06-07 12:34:30,27.6333,93.8333,66.94,98,95,1.59
214,Avarua,CK,2022-06-07 12:34:30,-21.2078,-159.775,77.05,83,75,11.5
215,Richland,US,2022-06-07 12:34:31,40.7834,-82.5499,65.1,94,100,8.05
216,Wajima,JP,2022-06-07 12:34:31,37.4,136.9,61.47,85,96,12.48
217,Notre-Dame-Du-Lac,CA,2022-06-07 12:34:31,47.6136,-68.7964,55.74,53,70,4.27
218,Peniche,PT,2022-06-07 12:34:32,39.3558,-9.3811,75.07,76,63,12.37
219,Bandarbeyla,SO,2022-06-07 12:30:44,9.4942,50.8122,93.0,42,100,25.68
220,Huarmey,PE,2022-06-07 12:34:33,-10.0681,-78.1522,64.44,83,87,3.53
221,Victoria,HK,2022-06-07 12:31:25,22.2855,114.1577,78.85,93,100,7.0
222,Miraflores,MX,2022-06-07 12:34:33,19.2167,-98.8083,62.02,65,98,0.74
223,Lucera,IT,2022-06-07 12:34:33,41.5082,15.3351,91.49,27,40,5.75
224,Vincennes,FR,2022-06-07 12:34:34,48.85,2.4333,73.15,61,75,14.97
225,Methoni,GR,2022-06-07 12:34:34,36.8197,21.7049,85.86,67,0,15.59
226,Hilo,US,2022-06-07 12:34:35,19.7297,-155.09,75.27,86,40,6.91
227,Asfi,MA,2022-06-07 12:34:35,32.2994,-9.2372,74.82,68,4,20.83
228,Meulaboh,ID,2022-06-07 12:34:35,4.1363,96.1285,79.92,72,100,1.72
229,Constitucion,CL,2022-06-07 12:34:36,-35.3333,-72.4167,52.14,74,0,3.8
230,Urusha,RU,2022-06-07 12:34:36,54.05,122.9,63.0,44,99,3.51
231,Cockburn Town,TC,2022-06-07 12:32:45,21.4612,-71.1419,80.44,86,45,17.31
232,Wahiawa,US,2022-06-07 12:35:37,21.5028,-158.0236,72.86,77,22,7.02
233,Vila Franca Do Campo,PT,2022-06-07 12:30:42,37.7167,-25.4333,66.61,79,90,11.68
234,Vanimo,PG,2022-06-07 12:35:37,-2.6741,141.3028,78.57,83,100,3.47
235,San Angelo,US,2022-06-07 12:35:38,31.4638,-100.437,79.54,70,0,12.66
236,Caconda,AO,2022-06-07 12:35:38,-13.7333,15.0667,72.91,22,95,6.08
237,Pilar,BR,2022-06-07 12:35:38,-9.5972,-35.9567,73.33,88,57,7.83
238,Le Port,RE,2022-06-07 12:35:39,-20.9373,55.2919,78.8,58,76,1.28
239,Ilulissat,GL,2022-06-07 12:35:39,69.2167,-51.1,39.22,48,0,4.61
240,Marzuq,YE,2022-06-07 12:35:40,14.4,46.4667,91.78,23,100,5.99
241,Cherskiy,RU,2022-06-07 12:35:40,68.75,161.3,38.91,64,3,8.63
242,Vallenar,CL,2022-06-07 12:35:40,-28.5708,-70.7581,68.43,16,0,0.98
243,Acajutla,SV,2022-06-07 12:35:41,13.5928,-89.8275,77.22,86,100,7.09
244,Nanortalik,GL,2022-06-07 12:35:41,60.1432,-45.2371,41.16,82,36,7.96
245,Kaka,TM,2022-06-07 12:35:41,37.3482,59.6143,100.9,7,92,8.59
246,Kremenchuk,UA,2022-06-07 12:35:42,49.0973,33.4197,74.89,50,97,6.53
247,Santiago Del Estero,AR,2022-06-07 12:31:31,-27.7951,-64.2615,58.06,55,0,5.84
248,Severnyy,RU,2022-06-07 12:35:42,50.677,36.5532,77.04,33,0,6.71
249,Rincon,US,2022-06-07 12:35:43,32.296,-81.2354,80.85,88,20,3.44
250,Pisco,PE,2022-06-07 12:35:43,-13.7,-76.2167,62.65,88,100,5.75
251,Cairns,AU,2022-06-07 12:35:44,-16.9167,145.7667,75.15,86,75,8.05
252,Tuatapere,NZ,2022-06-07 12:34:21,-46.1333,167.6833,45.64,90,13,6.73
