City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Saint-Augustin,CA,51.226,-58.6502,51.15,97,100,11.63,overcast clouds
290,Hithadhoo,MV,-0.6,73.0833,84.04,70,52,9.93,broken clouds
291,Wonthaggi,AU,-38.6044,145.5913,48.81,76,100,23.09,overcast clouds
292,Bada,RU,51.392,109.8717,49.62,98,85,2.57,moderate rain
293,Encruzilhada,BR,-15.5314,-40.9094,65.82,59,0,2.98,clear sky
294,Fort Nelson,CA,58.8053,-122.7002,53.19,94,100,4.61,light intensity shower rain
295,Sola,VU,-13.8833,167.55,81.27,89,20,0.0,few clouds
296,Sucre,BO,-19.0333,-65.2627,50.32,44,100,7.87,overcast clouds
297,Dongsheng,CN,39.8161,109.9776,57.63,36,79,14.38,broken clouds
298,Zemio,CF,5.0314,25.1361,70.54,78,55,1.14,broken clouds
299,Jiayuguan,CN,39.8167,98.3,58.03,20,100,5.91,overcast clouds
300,Faya,SA,18.3851,42.4509,73.51,14,15,4.76,few clouds
301,Bilibino,RU,68.0546,166.4372,64.96,27,9,9.46,clear sky
302,Sobolevo,RU,54.4299,31.8996,62.46,89,60,4.0,broken clouds
303,Bud,US,39.447,-86.1758,71.92,74,100,5.86,overcast clouds
304,Lisakovsk,KZ,52.5369,62.4936,53.87,86,6,8.66,clear sky
305,Trenggalek,ID,-8.05,111.7167,74.82,95,69,0.58,broken clouds
306,Pisco,PE,-13.7,-76.2167,66.25,77,1,4.61,haze
307,Bokoro,TD,12.3807,17.0568,86.61,48,61,3.22,broken clouds
308,Sungurlu,TR,40.1675,34.3739,63.82,75,60,4.5,broken clouds
309,Manzhouli,CN,49.6,117.4333,57.94,68,44,9.73,scattered clouds
310,Richards Bay,ZA,-28.783,32.0377,61.92,89,3,5.57,clear sky
311,Naryan-Mar,RU,67.6713,53.087,40.68,88,100,18.75,moderate rain
312,Ancud,CL,-41.8697,-73.8203,42.44,77,91,6.44,overcast clouds
313,Makubetsu,JP,45.3714,141.8211,52.86,96,100,3.24,overcast clouds
314,Petropavlovskoye,RU,52.0712,84.107,62.38,73,16,6.17,few clouds
315,Suntar,RU,62.1444,117.6319,56.19,62,34,4.81,scattered clouds
316,Broken Hill,AU,-31.95,141.4333,47.7,90,41,10.92,scattered clouds
317,Bose,IT,45.4612,8.0137,69.39,51,0,5.19,clear sky
318,Iglesias,IT,39.3114,8.535,69.22,65,0,1.95,clear sky
319,Almeirim,BR,-1.5233,-52.5817,75.31,96,100,2.8,moderate rain
320,Nambucca Heads,AU,-30.65,153.0,50.0,67,0,9.57,clear sky
321,Kyakhta,RU,50.3508,106.4494,45.59,93,93,4.47,overcast clouds
322,Catio,GW,11.2833,-15.25,80.91,79,6,11.07,clear sky
323,Okhotsk,RU,59.3833,143.3,41.07,94,100,7.36,overcast clouds
324,Mallapuram,IN,11.9667,78.25,76.32,82,90,4.29,overcast clouds
325,Mahanoro,MG,-19.9,48.8,69.04,82,70,3.0,broken clouds
326,Vanimo,PG,-2.6741,141.3028,77.88,89,22,4.27,few clouds
327,Soto La Marina,MX,23.7667,-98.2167,95.77,42,3,21.47,clear sky
328,Diffa,NE,13.3154,12.6113,84.99,43,14,7.87,few clouds
329,Springbok,ZA,-29.6643,17.8865,57.36,28,66,9.44,broken clouds
330,Tasiilaq,GL,65.6145,-37.6368,42.96,69,32,4.27,scattered clouds
331,Leningradskiy,RU,69.3833,178.4167,40.82,55,95,11.63,overcast clouds
332,Bay Roberts,CA,47.5999,-53.2648,61.03,90,100,5.01,light rain
333,Capoterra,IT,39.1763,8.9718,71.53,67,0,4.61,clear sky
334,Nouadhibou,MR,20.931,-17.0347,67.98,83,2,20.71,sand
335,Sambava,MG,-14.2667,50.1667,72.5,78,98,9.91,light rain
336,Muli,MV,2.9167,73.5667,82.98,73,85,10.8,overcast clouds
337,Sokoni,TZ,-6.4333,39.55,78.66,72,73,16.98,broken clouds
338,Calderitas,MX,18.55,-88.25,87.91,70,75,13.8,broken clouds
339,Hami,CN,42.8,93.45,71.78,10,42,12.8,scattered clouds
340,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,68.07,45,99,8.55,overcast clouds
341,Aswan,EG,24.0934,32.907,93.56,11,0,9.73,clear sky
